title,type,location,bedroom,bathroom,size_sqm,price
Apartment 3bedroom Fully finished prime location,Apartment,"HAP Town, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3,195,"2,600,000"
Apartment 197 SQ.M For Sale In Lake View Residence,Villa,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",4,4,660,"22,000,000"
apartment for sale in galleria moon valley,Apartment,"Fifth Square, North Investors Area, New Cairo City, Cairo",3,2,160,"1,550,000"
Villa 200 m immediate receipt in patio 5 east,Apartment,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,197,"3,500,000"
Ivilla A Roof Corner - Prime location MV Hyde park,Apartment,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",3,3,175,"2,750,000"
شقه للبيع 200 متفرع من عباس العقاد مدينة نصر,Villa,"Swan Lake, The 1st Settlement, New Cairo City, Cairo",5,5,545,"22,999,999"
S-villa with roof for sale at Sarai compound .    ,Townhouse,"Al Patio 5 East, El Patio, El Shorouk Compounds, Shorouk City, Cairo",3,4,200,"5,000,000"
Hot Offer | Lowest DP Only 494 K Own Apt in Mivida,iVilla,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,305,"4,500,000"
3 Bedrooms |14 TH per meter |5 years install,Apartment,"Mohamed Hassanein Heikal St., 6th Zone, Nasr City, Cairo",3,2,200,"1,350,000"
town corner view lake landscape facenorth land650m,Villa,"Sodic East, 6th District, New Heliopolis, Cairo",5,5,584,"11,188,300"
Apartment Under market price in mountain view   .,Villa,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,5,295,"3,985,000"
amazing apartment ready to move with garden 190 m,Villa,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,5,535,"15,500,000"
Standalone Villa in Uptown Cairo Alba Spendia,Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",1,1,85,"5,495,000"
apartment for sale in galleria moon valley,Apartment,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",3,3,175,"2,750,000"
Villa 200 m immediate receipt in patio 5 east,Villa,"Swan Lake, The 1st Settlement, New Cairo City, Cairo",5,5,545,"22,999,999"
Ivilla A Roof Corner - Prime location MV Hyde park,Townhouse,"Al Patio 5 East, El Patio, El Shorouk Compounds, Shorouk City, Cairo",3,4,200,"5,000,000"
شقه للبيع 200 متفرع من عباس العقاد مدينة نصر,iVilla,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,305,"4,500,000"
S-villa with roof for sale at Sarai compound .    ,Apartment,"Mohamed Hassanein Heikal St., 6th Zone, Nasr City, Cairo",3,2,200,"1,350,000"
Hot Offer | Lowest DP Only 494 K Own Apt in Mivida,Villa,"Sodic East, 6th District, New Heliopolis, Cairo",5,5,584,"11,188,300"
3 Bedrooms |14 TH per meter |5 years install,Villa,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,5,295,"3,985,000"
town corner view lake landscape facenorth land650m,Villa,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,5,535,"15,500,000"
Apartment Under market price in mountain view   .,Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",1,1,85,"5,495,000"
amazing apartment ready to move with garden 190 m,Apartment,"Oia, New Capital Compounds, New Capital City, Cairo",3,3,222,"3,108,000"
Standalone Villa in Uptown Cairo Alba Spendia,Villa,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",6,6,649,"8,500,000"
Apartment with installments at Hyde park for sale.,Apartment,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,215,"3,200,000"
on Special View Delivered Villa in Mivida Emaar,Apartment,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,165,"4,500,000"
Apartment with lowest downpayment in uptown cairo,Apartment,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,200,"2,000,000"
Ready to move prim location apartment for sale ,Villa,"Alba Spendia, Uptown Cairo, Mokattam, Cairo",6,6,463,"27,000,000"
Fully finished villa for sale in the villa,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,199,"2,900,000"
Apartment for sale in Marasem - golden square ,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,331,"14,500,000"
Apartment in Amorada - 5th Settlement | For Sale,Apartment,"Fountain Side, Uptown Cairo, Mokattam, Cairo",2,2,140,"1,251,832"
Furnished apartment for sale with fixtures,Apartment,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,215,"4,200,000"
Twin house for sale in Palm hills new cairo,Twin House,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,4,330,"7,000,000"
Penthouse For Sale n Villette Sky Condos View Park,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,172,"3,235,000"
Apartment 160 m in the defense council villas,Penthouse,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,284,"6,700,000"
Villa Type H Lakes view For sale at Madinaty ,Apartment,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,235,"2,930,000"
Lowest price 3 BRs at 5th square prime location,Apartment,"Al masrawya, South Investors Area, New Cairo City, Cairo",3,2,160,"2,000,000"
for sale villa 331m in mivida prime location,Villa,"Madinaty, Cairo",3,3,400,Ask
The cheapest standalone villa 356m in Mivida,Apartment,"Fifth Square, North Investors Area, New Cairo City, Cairo",3,2,143,"2,245,000"
Stand Alone For Sale In Mountain View1 with Credit,Apartment,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,140,"2,200,000"
Town house  corner  Sodic East view Green Spine ,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,331,"14,600,000"
Apartment for sale under market price in MVHP     ,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,356,"16,500,000"
Apartment 220m in Mivida Fully finished prime view,Villa,"Mountain View 1, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,400,"11,500,000"
شقة للبيع 179م بحي السفارات                      .,Townhouse,"Sodic East, 6th District, New Heliopolis, Cairo",4,3,290,"5,188,712"
Villa Fully Finished with swimming pool for sale ,Apartment,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,160,"1,600,000"
"Apartment for sale Mena residence, with gerden",Apartment,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Studio,1,62,"1,150,000"
Apartment for sale with installment in New Cairo,Twin House,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,5,316,"13,500,000"
Own your apartment best location in Mostakbal City,Villa,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,376,"10,049,500"
Villa |  Overlooking water features and pools,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",2,3,129,"1,791,040"
Duplex for sale in Narges 5 super lux finishing,Duplex,"Aly Sharawy St., Al Narges 5, Al Narges, New Cairo City, Cairo",5,4,420,"5,000,000"
The cheapest apartment for sale furnished in Rehab,Apartment,"El Rehab Extension, Al Rehab, New Cairo City, Cairo",2,2,122,"2,000,000"
fully finished apartment in ZED EAST rest over 8 y,Apartment,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,165,"5,000,000"
Town middle 5 rooms - prime location on land scape,Townhouse,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,5,266,"6,000,000"
170M APART.3bd 4 bth including parking and storage,Apartment,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,170,"3,800,000"
The cheapest villa with installments over 8 years,Apartment,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,160,"1,960,000"
Apartment 185 m at Eastown good price  ,Villa,"Creek Town, The 1st Settlement, New Cairo City, Cairo",4,4,230,Ask
Modern Townhouse for sale in hyde Park 245m ,Apartment,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,185,"3,775,000"
Apartment 236m at Uptown - Aurora - Prime Location,Townhouse,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,245,"7,350,000"
For 1 Week-Amazing Twin house 330m- Best Location,Apartment,"Aurora, Uptown Cairo, Mokattam, Cairo",3,3,236,"7,700,000"
"Twin villa for sale in Al Burouj, fully finished ",Twin House,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,330,"12,700,000"
villa for sale overlooking lake and the club house,Apartment,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,161,"4,750,000"
Villa for sale in a prime location in Mirage city ,Villa,"Al Shorouk 2000, El Shorouk Compounds, Shorouk City, Cairo",5,3,373,"11,328,000"
3 Bedrooms|3 Bathrooms|Garden|install. 10 years,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",4,4,300,"13,000,000"
Apartment 202 in Mountain view hyde park,Villa,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5,465,"10,750,000"
Twin house for sale in Mivida with swimming pool,Penthouse,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,284,"5,350,000"
For sale small villa with 0% DP in Sodic East,Villa,"Mirage City, The 1st Settlement, New Cairo City, Cairo",8,8,"2,200","70,000,000"
apartment unique location and attractive price,Apartment,"Kardia, New Capital Compounds, New Capital City, Cairo",3,3,168,"2,110,180"
"** 1700m Villa at katameya Dunes, SUPERB VIEW **",Apartment,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,202,"3,200,000"
Apartment For Sale in Palm Hills NC Prime Location,Twin House,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,315,"13,500,000"
Twinhouse With Good Price in Katameya Breeze,Villa,"Sodic East, 6th District, New Heliopolis, Cairo",3,3,270,"10,250,000"
villa for sale overlooking lake and the club house,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",4,4,300,"13,000,000"
Villa for sale in a prime location in Mirage city ,Villa,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5,465,"10,750,000"
3 Bedrooms|3 Bathrooms|Garden|install. 10 years,Penthouse,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,284,"5,350,000"
Apartment 202 in Mountain view hyde park,Villa,"Mirage City, The 1st Settlement, New Cairo City, Cairo",8,8,"2,200","70,000,000"
Twin house for sale in Mivida with swimming pool,Apartment,"Kardia, New Capital Compounds, New Capital City, Cairo",3,3,168,"2,110,180"
For sale small villa with 0% DP in Sodic East,Apartment,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,202,"3,200,000"
apartment unique location and attractive price,Twin House,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,315,"13,500,000"
"** 1700m Villa at katameya Dunes, SUPERB VIEW **",Villa,"Sodic East, 6th District, New Heliopolis, Cairo",3,3,270,"10,250,000"
Apartment For Sale in Palm Hills NC Prime Location,Apartment,"North Lotus, El Lotus, New Cairo City, Cairo",3,2,160,"1,400,000"
Twinhouse With Good Price in Katameya Breeze,Villa,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo",8,8,"1,700","40,000,000"
 Apartment 170m at ard elgolf 3bed special view   ,Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,182,"2,285,000"
Standalone prime location dp 5% over 7Y LIMITED,Villa,"Katameya Breeze, Ext North Inves Area, New Cairo City, Cairo",3,4,285,"7,650,000"
amazing penthouse with view deliver prime location,Twin House,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,400,"15,000,000"
Townhouse For Sale in City Gate With Installments,Apartment,"Omar Shaaban St., Ard El Golf, Heliopolis - Masr El Gedida, Cairo",3,2,170,"1,800,000"
Ultra Modern villa for Sale in Katameya Heights ..,Villa,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5,282,"8,000,000"
Villa for sale at azzar2 the pest  price ,Penthouse,"Azad, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,177,"4,850,000"
SV For sale in Sodic Villette under market price,Townhouse,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,270,"2,150,000"
"For sale townhouse Mivida Emaar, a prime location",Villa,"Swan Lake, The 1st Settlement, New Cairo City, Cairo",5,6,484,"21,350,000"
Townhouse for sale 200 m in The Wonder Marq. ,Townhouse,"The Wonder Marq, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3,200,"5,400,000"
Apartment In A Prime Location In Maadi Sarayat ,Villa,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5,450,"8,900,000"
Apartment for sale in Compound Promenade New Cairo,Apartment,"Sarayat Al Maadi, Hay El Maadi, Cairo",4,4,350,"6,000,000"
Finished apt 260m with ACS + kitchen Amazing view,Apartment,"Promenade New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,225,"2,100,000"
Townhouse Corner in Fifth Square Al Marasem,Penthouse,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,287,"8,200,000"
apartment for sale first floor in the square ,Townhouse,"Sodic East, 6th District, New Heliopolis, Cairo",4,5,289,"6,200,000"
Ready to move fully finished Garden Apartment,Apartment,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,260,"7,500,000"
                     .شقة للبيع 250م بمصطفي النحاس,Townhouse,"Fifth Square, North Investors Area, New Cairo City, Cairo",3,3,350,"9,700,000"
Apartment fully finished for sale in Mountain View,Apartment,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,168,"2,275,000"
Villa Type I Modern installment over 6 years ,Apartment,"Fifth Square, North Investors Area, New Cairo City, Cairo",2,2,115,"3,128,000"
"Apt 284m for sale Finished With ACs, Fifth Square ",Apartment,"Africa   Emtedad Moustafa Al Nahas, 10th Zone, Nasr City, Cairo",4,2,250,"1,800,000"
Apartment in Golden Square for 3 million and 100K,Apartment,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,199,"4,300,000"
Ready to move Apartment  TheSquare,Villa,"Madinaty, Cairo",3,4,222,"2,500,000"
Villa 356 M For Sale Mivida Hot Price,Apartment,"Fifth Square, North Investors Area, New Cairo City, Cairo",4,3,284,"2,590,000"
2 rooms|Parking|5% down|9 years install,Apartment,"Galleria Residences, South Investors Area, New Cairo City, Cairo",3,3,200,"3,100,000"
 Fully Finished Standalone 645m 4 sale at koronfel,Apartment,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,185,"2,200,000"
Panoramic View Apartment for Sale in Garden City .,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,356,"16,000,000"
Apartment With Big Garden  Mountain View Hyde Park,Duplex,"Vinci, New Capital Compounds, New Capital City, Cairo",2,2,138,"2,150,261"
apartment 140m rtm in lakeview residence ,Villa,"El Koronfel, The 5th Settlement, New Cairo City, Cairo",7,6,645,"3,028,750"
Apartment for sale at palm hills prime location ,Apartment,"Nile Corniche St., Garden City, Cairo",2,2,170,"5,200,000"
STANDALONE in Palm Hills Katameya EX.PK2 For Sale,Apartment,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,200,"4,100,000"
Villa Open View Levana 386 M Hot Price,Villa,"Levana, Uptown Cairo, Mokattam, Cairo",5,5,386,"19,500,000"
For sale penthouse Katameya prime location 10% DP ,Penthouse,"Katameya Creeks, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,225,"11,000,000"
apartment with best price and amazing view I city,Villa,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,275,"7,500,000"
Twin house in a compound with a d payment of 700 k,Villa,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5,480,"9,450,000"
Town house corner prime location sale Sodic East ,Apartment,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,165,"2,250,000"
Good price apartment 192m2 for sale at hyde park .,Villa,"North Rehab, New Cairo City, Cairo",4,5,280,"11,500,000"
prime location // Semi finished// ready to move,Townhouse,"Sodic East, 6th District, New Heliopolis, Cairo",4,3,234,"5,188,712"
Apt Pool View in boulevard|3 beds|Fully finished  ,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,192,"2,641,356"
Apartment 146 m for rent or sale in the village  .,iVilla,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,245,"5,200,000"
Apartment with installments at Lake View Residence,Townhouse,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,280,"11,380,000"
apartment for sale delivered at hyde park 185m ,Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,190,"7,000,000"
Luxurious twin villa for sale at Katamya Dunes.   ,Apartment,"The Village, South Investors Area, New Cairo City, Cairo",2,2,146,"2,850,000"
fully finished standalone for sale in swanlake kat,Apartment,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,234,"2,000,000"
3 bedrooms|Dressing|Roof|Living|Special disc,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,185,Ask
Twinhouse For Sale in Mivida With Roof Hot Price,Twin House,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo",5,5,450,"17,000,000"
Apartment for sale in Jayd residence Compound,Apartment,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,169,"2,550,000"
apartment 140m for sale in el maadi fully finished,Villa,"Swan Lake, The 1st Settlement, New Cairo City, Cairo",5,6,930,"60,000,000"
Duplex /Penthouse /Perfect price /4 bedrooms/255M,Twin House,"Tag Sultan, Ring Road, Cairo",3,3,194,"4,808,010"
Penthouse corner 166m  Mountain View Executive,Twin House,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,320,"11,799,996"
Twin house for sale palm hills kattamya extension ,Twin House,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,360,"7,750,000"
3rooms|Dressing|Finished|Garden|8y install|Del2023,Twin House,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,230,"6,500,000"
Villa 344 SQM For Sale in ( Palm Hills Katameya 2),Villa,"Trio Villas, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,216,"4,845,607"
standalone sale mivida fifth setlemment 256 ,Villa,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,344,"8,000,000"
Hot Opportunity Villa New Cairo with Installments,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,256,"14,000,000"
Duplex for sale with 5% DP in Hyde Park,Villa,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,380,"1,100,000"
Own your villa in the hydepark project i,Penthouse,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,206,"3,300,000"
High Land Park apartment for sale 245 meters,Duplex,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,227,"5,540,000"
Semi-finished villa for sale in Madinaty          ,Villa,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",6,6,355,"15,675,000"
Penthouse for sale 287m prime location,Villa,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,310,"12,750,000"
Standalone For Sale Mivida Prime Location 356m,Apartment,"Highland Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,245,"3,350,000"
Standalone Villa 5% dp / 8 yrs Steight New Cairo  ,Townhouse,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,316,"15,000,000"
Villa For Sale in Mivida best Price Prime Location,Villa,"Madinaty, Cairo",6,5,"1,200","21,000,000"
Eastown parks - Sodic   Apartment 191 for sale ,Penthouse,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,287,"7,500,000"
On Main Boulevard- Apartment For Sale in Mivida238,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,356,"16,000,000"
BEST PRICED  CLASSIC STANDALONE IN HYDEPARK,Villa,"Stei8ht, The 1st Settlement, New Cairo City, Cairo",6,6,650,"1,900,000"
Apartment For Sale in Fifth Square Facing North,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,475,"16,000,000"
for sale apartment 121m in the square view ,Apartment,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,191,"4,250,000"
Administrative villa for sale Fifth Settlement ,Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,238,"8,200,000"
توين هاوس بحري للبيع فى كمبوند مون فالي 2 التجمع,Villa,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,375,"7,200,000"
Apartment/LakeView Residence/210m/ Prime Location.,Apartment,"Fifth Square, North Investors Area, New Cairo City, Cairo",3,3,195,"3,250,000"
Standalone For Sale Mivida Prime Location 356m,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,356,"16,000,000"
Standalone Villa 5% dp / 8 yrs Steight New Cairo  ,Villa,"Stei8ht, The 1st Settlement, New Cairo City, Cairo",6,6,650,"1,900,000"
Villa For Sale in Mivida best Price Prime Location,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,475,"16,000,000"
Eastown parks - Sodic   Apartment 191 for sale ,Apartment,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,191,"4,250,000"
On Main Boulevard- Apartment For Sale in Mivida238,Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,238,"8,200,000"
BEST PRICED  CLASSIC STANDALONE IN HYDEPARK,Villa,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,375,"7,200,000"
Apartment For Sale in Fifth Square Facing North,Apartment,"Fifth Square, North Investors Area, New Cairo City, Cairo",3,3,195,"3,250,000"
for sale apartment 121m in the square view ,Apartment,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,121,"1,660,000"
Administrative villa for sale Fifth Settlement ,Villa,"One Ninety Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",8,8,500,"17,000,000"
توين هاوس بحري للبيع فى كمبوند مون فالي 2 التجمع,Twin House,"Moon Valley 2, Ext North Inves Area, New Cairo City, Cairo",5,4,330,"5,400,000"
Apartment/LakeView Residence/210m/ Prime Location.,Apartment,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,210,"4,600,000"
شقة للبيع فى بلو فير العاصمة الإدارية  .,Apartment,"Bleu Vert, New Capital Compounds, New Capital City, Cairo",3,3,164,"2,387,000"
*****ALL TOWN HOUSES AVAILABLE FOR SALE IN PK2****,iVilla,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,230,"5,500,000"
villa for sale fully finished east of the academy,Townhouse,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,315,"5,500,000"
"Apartment 130m ,insta over 7 years ",Villa,"East The Academy, New Cairo City, Cairo",4,3,582,"14,000,000"
IVilla Graden Corner For Sale Fully Finished MVHP ,Apartment,"Midtown Sky, New Capital Compounds, New Capital City, Cairo",3,3,130,"1,170,000"
i villa B  Garden finished Mountain view hyde park,Apartment,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4,229,"3,331,250"
Prime Location Corner TH 269m With Credit 5 Years ,Apartment,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",2,2,135,"1,812,760"
Immediate receipt/DP 200k/ installments to 7 years,Duplex,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,287,"5,800,000"
Villa for sale in Porto Cairo very special price ,iVilla,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,250,"5,500,000"
Apartment for sale in the fifth district,Townhouse,"Al Patio 5 East, El Patio, El Shorouk Compounds, Shorouk City, Cairo",4,3,269,"6,280,000"
Square - Twin - Sale - Lake View Prime Location,Apartment,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,2,105,"1,600,000"
"For sale, Al Rehab apartment, the fourth phase,171",Apartment,"Saad Zaghloul St., Rehab City Forth Phase, Al Rehab, New Cairo City, Cairo",3,3,171,"2,550,000"
Penthouse in Regents Park 276m- Prime Location ,Penthouse,"Regents Park, Al Andalus District, New Cairo City, Cairo",4,4,276,"5,780,000"
Apartment - JAYD - Typical floor Fully finished,Apartment,"JAYD Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,145,"2,500,000"
Apartment  fully finished in Amorada compound,Apartment,"Amorada, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,186,"3,000,000"
Twin house Fully Finished at kattmaya Dunes 415 M.,Twin House,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo",4,4,415,"19,000,000"
Townhouse | IL Bosco City | Mostakbal City ,Townhouse,"IL Bosco City, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,4,239,"4,564,664"
2 Bedrooms|2Bathrooms|5% Down|9 years install,Apartment,"IL Bosco City, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,2,119,"1,765,936"
For sale Apartment ready to move in The Square,Apartment,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,210,"2,562,500"
Penthouse in MVHP in prime location  installments ,Penthouse,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,166,"3,500,000"
townhouse fully finshed ready to move at layan,Villa,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,264,"6,000,000"
فيلا للبيع 973 متر على التسعين الشمالي متشطبة  ,Villa,"La Nuova Vista, North Investors Area, New Cairo City, Cairo",5,5,973,"8,000,000"
Apartment For Sale  In Cairo Festival City ( CFC),Apartment,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",3,3,200,Ask
Amazing standalone corner in palm hills pk2,Villa,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5,356,"7,900,000"
