title,type,location,bedroom,bathroom,size_sqm,price
"villa for sale in Taj city compound, front Airport",Apartment,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,171,"2,700,000"
For sale an apartment in near the Police Academy,Hotel Apartment,"D-Square, Downtown Area, New Capital City, Cairo",1,1,69,"2,147,280"
Penthouse fully finished - 3 rooms - Garage spot .,Villa,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5,193,"7,200,000"
Prime Location | Wide Landscape View | K Area,Apartment,"Mostafa Kamel Axis, The 1st Settlement, New Cairo City, Cairo",3,2,240,"2,250,000"
2 Beds Apartment for sale Uptown spectacular view.,Penthouse,"Palm Hills Village Gate, South Investors Area, New Cairo City, Cairo",3,3,210,"4,500,000"
Townhouse 281m² for sale in Grand Residence.,Townhouse,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4,266,"5,250,000"
villa for sale in palm hills new cairo ,Apartment,"The Fourteen Golf Residences, Uptown Cairo, Mokattam, Cairo",2,2,140,"6,500,000"
Own Duplex roof  in eastown 305 sqm prime location,Townhouse,"Grand Residence, South Investors Area, New Cairo City, Cairo",4,4,281,"6,000,000"
 Duplex For Sale in Eastown Under Market Price ,Villa,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,7,545,"13,133,316"
3 BEDS DUPLEX WITH PRIME LOCATION|HYDE PARK       ,Duplex,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,305,"6,000,000"
Amazing Apartment at Eastown Sodic for sale 211 M.,Apartment,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,183,"7,600,000"
Penthouse|Ready to Move|Installment|175 SQM,Apartment,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,211,"4,350,000"
"Apartment 170 m in Hap Town Mostakbal City,dp 160k",Penthouse,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,175,"1,250,000"
For sale villa finished 424m installment 7 years,Apartment,"HAP Town, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,4,170,"3,200,000"
Garden Apartment / LakeView Residence / 2 bedrooms,Villa,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",5,5,424,"1,510,000"
Duplex for sale 360m with garden Al Narges 2 ,Apartment,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,122,"3,600,000"
Prime Location - Huge Garden - Elevated,Duplex,"Al Narges 2, Al Narges, New Cairo City, Cairo",3,3,360,"4,500,000"
Duplex Apartment For sale in uptown cairo,Townhouse,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",5,4,370,"8,850,000"
