web_scraper_order,web_scraper_start_url,name,data,title,data2,data3,data4,data5,title2,title3,data6,data7,data8,data9,image,image2,image3
"1775805304-11","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","Extra Super Lux Apartment for Sale in Lotus North, Second Area – 140 m²","The Second Area - Lotus North","5,500,000 EGP","– 39,285 EGP/m²","140 m²","15","New Cairo - 5th Settlement","WhatsApp","Call","3","","/","2","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d649d87d7ce748988710.jpg",""
"1775805304-12","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","Villa Super lux For sale in Bellagio Compound - Arco","Bellagio Compound - Arco","80,000,000 EGP","– 160,000 EGP/m²","500 m²","10","New Cairo - 5th Settlement","WhatsApp","Call","5","","/","3","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d64bcd42c1c790902031.jpg",""
"1775805304-13","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","شقه 251م ببيت الوطن الحى السادس تعاقد  30% و الباقى على 3 سنوات بدون فوائد","Sixth Neighborhood","6,225,000 EGP","– 24,800 EGP/m²","251 m²","5","New Cairo - 5th Settlement","WhatsApp","Call","3","","/","3","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d657dd488dc316939476.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2503/67c5bb4f9d640008656972.jpg"
"1775805304-14","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","Garden Apartment for Sale in Stone Residence, Extra Super Lux, 136 m²","Stone Residence - PRE","5,600,000 EGP","– 41,176 EGP/m²","136 m²","2","New Cairo - 5th Settlement","WhatsApp","Call","2","","/","2","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d64a801920d164496551.jpg",""
"1775805304-15","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","شقة للبيع في الأندلس ٢ بجوار مسجد الباقي قصاد كمبوند ميفيدا موقع متميز","Small Investor","4,450,000 EGP","– 24,054 EGP/m²","185 m²","1","New Cairo - 5th Settlement","WhatsApp","Call","3","","/","3","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d660ae4819d805335108.jpg",""
"1775805304-16","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","للبيع شقه نص روف 188م تعاقد 30% و الباقى على 3 سنوات ببيت الوطن- الحى السادس","Sixth Neighborhood","4,900,000 EGP","– 26,063 EGP/m²","188 m²","5","New Cairo - 5th Settlement","WhatsApp","Call","3","","/","2","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d6585ee03de295400406.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2503/67c5bb4f9d640008656972.jpg"
"1775805304-17","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","For sale - Apartment 70 M² Super lux","Street 6","1,650,000 EGP","– 23,571 EGP/m²","70 m²","4","New Cairo - 5th Settlement","WhatsApp","Call","2","","/","1","","https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d653b1824dd605980577.png",""
"1775805304-18","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","للبيع شقه 251م تعاقد 30% و الباقى على 3 سنوات ببيت الوطن- الحى السادس","Sixth Neighborhood","6,225,000 EGP","– 24,800 EGP/m²","251 m²","5","New Cairo - 5th Settlement","WhatsApp","Call","3","","/","3","","https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d65704606ff455982542.jpg","https://img-0.aqarmap.com.eg/new-aqarmap-media/logo/2503/67c5bb4f9d640008656972.jpg"
"1775805304-19","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","ارض للبيع في الحي الثالث بيت الوطن موقع مميز","Third Neighborhood","16,000,000 EGP","– 22,099 EGP/m²","724 m²","2","New Cairo - 5th Settlement","WhatsApp","Call","","","/","","","https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d64fbb7d747413894490.jpg",""
"1775805304-20","https://aqarmap.com.eg/en/for-sale/property-type/cairo/new-cairo/?page=28","عمارات For sale in El Kornfol 1","El Kornfol 1","41,000,000 EGP","– 58,571 EGP/m²","700 m²","2","New Cairo - 5th Settlement","WhatsApp","Call","","","/","","","https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2604/69d64a40014c6756152311.jpg",""
