Price,Area,Rooms,Bathrooms,Floor Level,Year Built,Seller Type,View,Payment Method,Location,Amenities,Price_Numeric,Calculated_Price_Per_Meter
"7,394,420 EGP",94,2,1 bathroom,1,2026,Broker,Pool,Installments,Unknown,Basic,7394420,78664.04
"3,933,000 EGP",81,1,1 bathroom,1,2026,Broker,Side Street,Installments,Unknown,Basic,3933000,48555.56
"6,251,000 EGP",133,3,1 bathroom,1,2027,Broker,Main Street,Installments,Unknown,Basic,6251000,47000
"3,630,000 EGP",66,1,1 bathroom,1,2027,Broker,Pool,Installments,Unknown,Basic,3630000,55000
"7,050,000 EGP",150,3,1 bathroom,1,2027,Broker,Main Street,Installments,Unknown,Facilities,7050000,47000
"6,251,000 EGP",133,3,1 bathroom,1,2027,Broker,Pool,Installments,A Luxury Resort,Basic,6251000,47000
"4,370,000 EGP",95,2,1 bathroom,1,2027,Broker,Pool,Installments,Unknown,Basic,4370000,46000
"6,659,120 EGP",76,1,1 bathroom,2,2026,Broker,Pool,Installments,Unknown,Pool,6659120,87620
"9,585,000 EGP",157,3,3 bathroom,3,2027,Broker,Lake,Installments,Taj City,View,9585000,61050.96
"4,554,000 EGP",99,2,1 bathroom,1,2027,Broker,Pool,Installments,Unknown,Basic,4554000,46000
"6,500,000 EGP",222,4,3 bathroom,4,2025,Developer,Corner,Cash or Installments,The Third Area,Basic,6500000,29279.28
"3,933,000 EGP",81,1,1 bathroom,1,2026,Broker,Side Street,Installments,The Trivana Resort,Basic,3933000,48555.56
"9,165,000 EGP",197,3,3 bathroom,2,2026,Developer,Garden,Installments,كمبوند مبني امام,تقسيط,9165000,46522.84
"5,900,000 EGP",213,3,2 bathroom,3,2025,Developer,Garden,Cash,العاصمه الاداريه استلام,Basic,5900000,27699.53
"3,348,000 EGP",62,1,1 bathroom,1,2027,Broker,Pool,Installments,Unknown,Basic,3348000,54000
"8,040,000 EGP",120,2,2 bathroom,2,2029,Broker,Other,Cash or Installments,Red Future City,"Finished, Installment",8040000,67000
"6,016,000 EGP",128,3,1 bathroom,1,2027,Broker,Main Street,Installments,Unknown,Basic,6016000,47000
"8,650,000 EGP",225,3,3 bathroom,1,2019,Broker,Main Street,Cash,شارع سليمان الحلبي,Basic,8650000,38444.44
"7,973,420 EGP",91,2,1 bathroom,1,2026,Broker,Pool,Installments,Unknown,Basic,7973420,87620
"19,500,000 EGP",240,3,3 bathroom,2,2020,Broker,Main Street,Cash,كمبوند ماونتن فيو,فيو,19500000,81250
"5,056,000 EGP",158,3,3 bathroom,2,2028,Broker,Plaza,Cash or Installments,Unknown,تقسيط,5056000,32000
"11,700,000 EGP",200,3,3 bathroom,2,2023,Broker,Lake,Cash,Unknown,Basic,11700000,58500
"9,200,000 EGP",211,3,3 bathroom,5,2025,Broker,Garden,Cash,Madinaty,Basic,9200000,43601.9
"1,050,000 EGP",120,3,1 bathroom,13,2011,Broker,Side Street,Cash,Unknown,Basic,1050000,8750
"3,609,300 EGP",159,3,3 bathroom,2,2028,Broker,Main Street,Cash,المربع الذهبي,Basic,3609300,22700
"3,300,000 EGP",75,2,1 bathroom,1,2026,Broker,Side Street,Installments,Unknown,Basic,3300000,44000
"7,683,000 EGP",170,3,2 bathroom,,2018,Broker,Garden,Installments,Wesal Views,View,7683000,45194.12
"7,000,000 EGP",145,3,2 bathroom,9,2025,Broker,Main Street,Cash,شارع الزهراء,Basic,7000000,48275.86
"5,452,000 EGP",116,3,1 bathroom,1,2027,Broker,Main Street,Installments,A Modern Resort,Basic,5452000,47000
"4,136,000 EGP",88,2,1 bathroom,1,2027,Broker,Main Street,Installments,Unknown,Basic,4136000,47000
"6,500,000 EGP",133,3,2 bathroom,7,2025,Broker,Main Street,Cash,شارع رقم 1,Basic,6500000,48872.18
"2,150,000 EGP",70,2,1 bathroom,3,2020,Broker,Other,Cash,Other Neighborhoods In,Basic,2150000,30714.29
"6,000,000 EGP",225,4,3 bathroom,3,2016,Broker,Garden,Cash,القرنفل فيلات _,Basic,6000000,26666.67
"4,312,000 EGP",98,2,1 bathroom,1,2026,Broker,Side Street,Installments,Unknown,Basic,4312000,44000
"2,400,000 EGP",115,3,1 bathroom,,2020,Broker,Main Street,Cash or Installments,طريق الواحات,Basic,2400000,20869.57
"2,970,000 EGP",55,1,1 bathroom,1,2027,Broker,Pool,Installments,A Modern Resort,Basic,2970000,54000
