Price,Area,Rooms,Bathrooms,Floor Level,Year Built,Seller Type,View,Payment Method,Location,Amenities,Price_Numeric,Calculated_Price_Per_Meter
"6,750,000 EGP",213,3,3 bathroom,8,2000,Broker,Other,Cash,شارع عبد المنعم,Basic,6750000,31690.14
"6,520,800 EGP",76,1,1 bathroom,2,2026,Broker,Pool,Installments,Holidays Park With,"View, Facilities",6520800,85800
"7,243,750 EGP",94,2,1 bathroom,1,2026,Broker,Pool,Installments,A Luxury Resort,View,7243750,77061.17
"1,900,000 EGP",120,3,1 bathroom,7,2012,Broker,Main Street,Cash,Unknown,Basic,1900000,15833.33
"7,550,400 EGP",88,2,1 bathroom,2,2026,Broker,Pool,Installments,Unknown,Basic,7550400,85800
"2,590,000 EGP",150,3,2 bathroom,2,2025,Broker,Main Street,Cash,A Prime Location,Basic,2590000,17266.67
"3,900,000 EGP",160,3,3 bathroom,2,2026,Broker,Side Street,Cash or Installments,Unknown,Basic,3900000,24375
"8,000,000 EGP",220,3,4 bathroom,1,2025,Broker,Garden,Cash,Unknown,View,8000000,36363.64
"2,864,160 EGP",54,1,1 bathroom,1,2026,Broker,Pool,Installments,Unknown,Basic,2864160,53040
"15,100,000 EGP",180,3,3 bathroom,2,2025,Broker,Garden,Cash or Installments,I City Over,Installment,15100000,83888.89
"6,000,000 EGP",200,3,3 bathroom,1,2026,Broker,Side Street,Cash or Installments,El Kornfol 4,Basic,6000000,30000
"7,636,200 EGP",89,2,1 bathroom,2,2026,Broker,Pool,Installments,Holidays Park With,View,7636200,85800
"4,508,400 EGP",85,2,1 bathroom,1,2027,Broker,Main Street,Installments,Unknown,Basic,4508400,53040
"4,508,400 EGP",85,2,1 bathroom,1,2027,Broker,Pool,Installments,Unknown,Basic,4508400,53040
"4,508,400 EGP",85,2,1 bathroom,2,2027,Broker,Pool,Installments,Unknown,Park,4508400,53040
"3,900,000 EGP",120,2,2 bathroom,1,2025,Broker,Back,Cash,South Lotus –,Finished,3900000,32500
"5,190,900 EGP",66,1,1 bathroom,2,2026,Broker,Pool,Installments,Unknown,Park,5190900,78650
"10,000,000 EGP",117,2,2 bathroom,5,2029,Broker,Garden,Cash or Installments,كمبوند تاج سيتي,Basic,10000000,85470.09
"5,010,000 EGP",160,3,3 bathroom,4,2025,Broker,Main Street,Cash,Unknown,Basic,5010000,31312.5
"5,348,200 EGP",68,1,1 bathroom,2,2026,Broker,Pool,Installments,Holidays Park –,Park,5348200,78650
"3,978,000 EGP",72,2,1 bathroom,1,2027,Broker,Main Street,Installments,Unknown,Basic,3978000,55250
"7,807,800 EGP",91,2,1 bathroom,2,2026,Broker,Pool,Installments,Unknown,Facilities,7807800,85800
"7,807,800 EGP",91,2,1 bathroom,2,2026,Broker,Pool,Installments,Holidays Park –,View,7807800,85800
"12,708,000 EGP",144,2,2 bathroom,2,2027,Broker,Other,Installments,Park Towers,Park,12708000,88250
"4,398,240 EGP",88,2,1 bathroom,2,2027,Broker,Main Street,Installments,Unknown,View,4398240,49980
"12,100,000 EGP",132,3,3 bathroom,5,2029,Broker,Garden,Cash or Installments,Origami Gardens,Garden,12100000,91666.67
"9,000,000 EGP",220,3,3 bathroom,2,2025,Broker,Garden,Cash,Beta Greens Compound,Basic,9000000,40909.09
"3,100,000 EGP",62,1,1 bathroom,1,2027,Broker,Other,Installments,Unknown,Basic,3100000,50000
"5,151,000 EGP",101,2,1 bathroom,2,2027,Broker,Other,Installments,Unknown,Basic,5151000,51000
"2,300,000 EGP",130,3,1 bathroom,5,2001,Broker,Other,Cash,Divided From El,Basic,2300000,17692.31
"3,100,000 EGP",62,1,1 bathroom,1,2027,Broker,Other,Installments,Unknown,Park,3100000,50000
"10,000,000 EGP",200,3,3 bathroom,2,2025,Broker,Garden,Cash,Unknown,Basic,10000000,50000
"3,100,000 EGP",62,1,1 bathroom,1,2027,Broker,Other,Installments,Prime Arabia,Basic,3100000,50000
"14,000,000 EGP",160,3,3 bathroom,2,2015,Broker,Garden,Cash,سبيكترام,Basic,14000000,87500
"5,269,550 EGP",67,1,1 bathroom,2,2026,Broker,Pool,Installments,Unknown,Basic,5269550,78650
"2,976,000 EGP",62,1,1 bathroom,1,2027,Broker,Main Street,Installments,Unknown,Basic,2976000,48000
"12,500,000 EGP",153,2,2 bathroom,2,2023,Broker,Main Street,Cash,موقع ممتاز بكمبوند,Basic,12500000,81699.35
"13,200,000 EGP",160,3,3 bathroom,5,2025,Broker,Garden,Cash or Installments,I City New,Basic,13200000,82500
"1,250,000 EGP",96,2,1 bathroom,13,2012,Broker,Side Street,Cash,Unknown,Basic,1250000,13020.83
"2,700,000 EGP",115,2,1 bathroom,3,2020,Broker,Other,Cash,اكتوبر,Basic,2700000,23478.26
"2,976,000 EGP",62,1,1 bathroom,1,2027,Broker,Main Street,Installments,Unknown,View,2976000,48000
"6,606,600 EGP",77,1,1 bathroom,2,2026,Broker,Pool,Installments,A Strategic Location,Basic,6606600,85800
"2,650,000 EGP",50,1,1 bathroom,1,2027,Broker,Other,Installments,Arabia,Basic,2650000,53000
"6,900,000 EGP",191,3,2 bathroom,2,2025,Broker,Side Street,Cash,Doctor Hani Maher,Basic,6900000,36125.65
"2,300,000 EGP",130,3,1 bathroom,5,2000,Broker,Other,Cash,Divided From El,Basic,2300000,17692.31
"5,000,000 EGP",140,3,2 bathroom,4,1983,Broker,Main Street,Cash,شارع عبد الحميد,Basic,5000000,35714.29
"5,500,000 EGP",110,2,2 bathroom,4,2020,Broker,Garden,Cash,Park Towers,Park,5500000,50000
"7,800,000 EGP",110,2,2 bathroom,4,2026,Broker,Garden,Cash or Installments,Zed West Towers,Basic,7800000,70909.09
"12,800,000 EGP",120,2,2 bathroom,2,2029,Broker,Garden,Cash or Installments,Alivia Over Installment,"Finished, Installment",12800000,106666.67
"7,200,000 EGP",119,3,2 bathroom,3,2025,Broker,Main Street,Cash,Phase 7,Basic,7200000,60504.2
"8,500,000 EGP",210,4,3 bathroom,4,2025,Broker,Lake,Cash,كمبوند ذا سكوير,Basic,8500000,40476.19
"3,650,000 EGP",125,2,3 bathroom,3,2025,Broker,Other,Installments,كمبوند بلوم فيلدز,Basic,3650000,29200
"4,720,560 EGP",89,2,1 bathroom,1,2027,Broker,Pool,Installments,Vibrant Arabia,Basic,4720560,53040
"1,970,000 EGP",80,2,1 bathroom,,2015,Broker,Other,Cash,Unknown,Basic,1970000,24625
"6,300,000 EGP",165,3,3 bathroom,2,2025,Broker,Lake,Cash,كمبوند ذا سكوير,Basic,6300000,38181.82
"4,000,000 EGP",150,3,2 bathroom,1,1985,Broker,Main Street,Cash,Kafr Abdo,Basic,4000000,26666.67
"4,200,000 EGP",130,3,1 bathroom,3,1990,Broker,Main Street,Cash,عمارات العبور,Basic,4200000,32307.69
"3,200,000 EGP",85,2,1 bathroom,1,1971,Broker,Garden,Cash,شارع عبد الله,Basic,3200000,37647.06
"11,400,000 EGP",130,2,2 bathroom,5,2025,Broker,Garden,Cash or Installments,New Cairo,Basic,11400000,87692.31
"3,750,000 EGP",160,3,3 bathroom,2,2025,Developer,Main Street,Cash or Installments,Writers Union Rd,Basic,3750000,23437.5
"10,700,000 EGP",147,3,2 bathroom,1,2021,Broker,Garden,Cash,Al Marasem,Basic,10700000,72789.12
"3,250,000 EGP",171,3,3 bathroom,1,2025,Broker,Main Street,Cash,Area A,Basic,3250000,19005.85
"3,500,000 EGP",130,3,1 bathroom,4,2025,Broker,Main Street,Cash,Unknown,تشطيب,3500000,26923.08
"5,000,000 EGP",186,3,2 bathroom,6,2025,Broker,Main Street,Cash or Installments,كمبوند معادي فالي,Basic,5000000,26881.72
"7,700,000 EGP",134,3,2 bathroom,2,2025,Broker,Garden,Cash,Unknown,Basic,7700000,57462.69
"11,900,000 EGP",140,3,2 bathroom,1,2025,Broker,Garden,Cash or Installments,I City New,Basic,11900000,85000
"9,200,000 EGP",180,3,2 bathroom,5,2025,Broker,Garden,Cash,Unknown,Basic,9200000,51111.11
"6,300,000 EGP",140,3,2 bathroom,1,2025,Broker,Main Street,Cash,Unknown,Finished,6300000,45000
"9,500,000 EGP",156,2,3 bathroom,3,2024,Broker,Main Street,Cash,كمبوند 90 أفينيو,Basic,9500000,60897.44
"1,450,000 EGP",100,2,1 bathroom,2,2025,Broker,Main Street,Cash,Unknown,Basic,1450000,14500
"5,000,000 EGP",180,3,2 bathroom,4,2025,Broker,Back,Cash,The First Area,Basic,5000000,27777.78
"1,750,000 EGP",160,3,2 bathroom,4,2025,Broker,Side Street,Cash,Unknown,تشطيب,1750000,10937.5
"5,940,000 EGP",180,3,2 bathroom,4,2026,Broker,Main Street,Cash or Installments,The Second Area,Basic,5940000,33000
"9,500,000 EGP",122,2,2 bathroom,2,2025,Broker,Garden,Cash,كمبوند كازا,Basic,9500000,77868.85
"6,105,000 EGP",185,3,2 bathroom,4,2026,Broker,Main Street,Cash or Installments,The Second Area,Basic,6105000,33000
"6,600,000 EGP",200,3,2 bathroom,4,2025,Broker,Main Street,Cash,The First Area,Basic,6600000,33000
"7,500,000 EGP",220,3,3 bathroom,1,2026,Broker,Garden,Cash,South Academy –,"View, Finished",7500000,34090.91
"12,000,000 EGP",157,3,3 bathroom,5,2029,Broker,Garden,Cash or Installments,كمبوند ذا بترفلاي,تقسيط,12000000,76433.12
"3,600,000 EGP",96,2,1 bathroom,1,2015,Broker,Main Street,Cash,Al Ashrafia Compound,Basic,3600000,37500
"8,500,000 EGP",150,3,3 bathroom,16,2017,Developer,Sea View,Cash,El Geesh,Basic,8500000,56666.67
"8,200,000 EGP",289,3,2 bathroom,,2025,Broker,Garden,Cash,Suleiman Al,Basic,8200000,28373.7
"3,500,000 EGP",130,3,1 bathroom,4,2025,Broker,Garden,Cash,الحي السادس عشر,Basic,3500000,26923.08
"3,200,000 EGP",116,3,2 bathroom,1,2025,Broker,Garden,Cash,كمبوند ليك فرنت,Basic,3200000,27586.21
"20,300,000 EGP",199,3,3 bathroom,2,2025,Broker,Corner,Cash or Installments,Mountain View Hyed,View,20300000,102010.05
"2,650,000 EGP",122,3,1 bathroom,11,2024,Developer,Main Street,Cash or Installments,Jasmine Gardens Compound,Garden,2650000,21721.31
"7,750,000 EGP",240,4,4 bathroom,2,2026,Broker,Garden,Cash or Installments,Yasmine 3 –,"View, Installment",7750000,32291.67
"7,196,864 EGP",155,3,3 bathroom,3,2026,Broker,Main Street,Cash or Installments,Sun Capital Compound,View,7196864,46431.38
"3,800,000 EGP",140,3,1 bathroom,2,2024,Broker,Lake,Cash,El Merag El,Basic,3800000,27142.86
"7,500,000 EGP",220,3,3 bathroom,1,2025,Broker,Garden,Cash,Violet 12 With,View,7500000,34090.91
"9,000,000 EGP",150,3,3 bathroom,1,2028,Broker,Main Street,Cash or Installments,Unknown,Installment,9000000,60000
"8,800,000 EGP",260,3,2 bathroom,4,2012,Broker,Side Street,Cash,موقع مميز,الترا,8800000,33846.15
"7,000,000 EGP",108,2,1 bathroom,1,2025,Broker,Garden,Cash,Talaat Mostafa St,Basic,7000000,64814.81
"7,250,000 EGP",207,3,2 bathroom,2,2026,Broker,Side Street,Cash or Installments,Diplomats,Basic,7250000,35024.15
"3,500,000 EGP",130,3,1 bathroom,4,2015,Broker,Other,Cash,الحي السادس عشر,Basic,3500000,26923.08
"4,455,000 EGP",165,3,2 bathroom,4,2026,Broker,Main Street,Cash or Installments,The Second Area,Basic,4455000,27000
"5,500,000 EGP",195,3,3 bathroom,3,2025,Broker,Garden,Cash,Rock Eden Compound,Basic,5500000,28205.13
"7,000,000 EGP",280,4,4 bathroom,2,2025,Broker,Side Street,Cash or Installments,Tamr Hena 1,Basic,7000000,25000
"4,800,000 EGP",180,3,2 bathroom,2,2025,Broker,Side Street,Cash or Installments,El Defaa El,Basic,4800000,26666.67
"11,455,240 EGP",150,3,3 bathroom,1,2025,Broker,Main Street,Cash or Installments,Mv,Basic,11455240,76368.27
"6,435,000 EGP",195,3,3 bathroom,4,2026,Broker,Main Street,Cash or Installments,The Second Area,Basic,6435000,33000
"8,911,000 EGP",136,2,2 bathroom,2,2026,Broker,Garden,Cash,كمبوند مارفيل,Basic,8911000,65522.06
"2,150,000 EGP",150,3,2 bathroom,3,2024,Broker,Back,Installments,Suez City,Basic,2150000,14333.33
"2,250,000 EGP",145,3,2 bathroom,2,2024,Broker,Corner,Installments,Suez City,Basic,2250000,15517.24
"2,250,000 EGP",145,3,2 bathroom,3,2024,Broker,Corner,Installments,Suez City,Basic,2250000,15517.24
"9,000,000 EGP",300,3,3 bathroom,13,2005,Broker,Main Street,Cash,Loran (Direct Abu,Basic,9000000,30000
"2,150,000 EGP",150,3,2 bathroom,5,2024,Broker,Back,Installments,Suez City,Basic,2150000,14333.33
"7,000,000 EGP",210,3,2 bathroom,2,2026,Broker,Garden,Cash or Installments,El Banafsag 12,Basic,7000000,33333.33
"2,250,000 EGP",145,3,2 bathroom,5,2024,Broker,Corner,Installments,Suez City,Basic,2250000,15517.24
"2,350,000 EGP",155,3,2 bathroom,5,2024,Broker,Corner,Installments,Suez City,Basic,2350000,15161.29
"6,500,000 EGP",99,2,1 bathroom,4,2025,Broker,Garden,Cash,Phase 9,Basic,6500000,65656.57
"1,250,000 EGP",96,2,1 bathroom,13,2013,Broker,Side Street,Cash,شارع ترعة الجبل,Basic,1250000,13020.83
"3,350,000 EGP",120,3,2 bathroom,2,1992,Broker,Side Street,Cash,Unknown,لوكس,3350000,27916.67
"19,300,000 EGP",207,4,4 bathroom,2,2029,Broker,Garden,Cash or Installments,Taj City Over,Installment,19300000,93236.71
"17,000,000 EGP",191,3,3 bathroom,4,2015,Broker,Side Street,Cash,سبيكترام,Basic,17000000,89005.24
"2,350,000 EGP",155,3,2 bathroom,3,2024,Broker,Corner,Installments,Suez City,Basic,2350000,15161.29
"1,750,000 EGP",135,2,2 bathroom,5,2025,Broker,Side Street,Cash,تقسيم صقر قريش,Basic,1750000,12962.96
"5,600,000 EGP",82,1,1 bathroom,2,2029,Broker,Garden,Cash or Installments,The Butterfly Over,Installment,5600000,68292.68
"2,350,000 EGP",155,3,2 bathroom,2,2024,Broker,Corner,Installments,Suez City,Basic,2350000,15161.29
"4,732,000 EGP",185,3,2 bathroom,2,2026,Broker,Garden,Cash or Installments,First Neighborhood,Basic,4732000,25578.38
"6,558,000 EGP",166,3,2 bathroom,2,2025,Broker,Main Street,Cash or Installments,New Narges,Basic,6558000,39506.02
"13,900,000 EGP",208,3,3 bathroom,2,2029,Broker,Garden,Cash or Installments,El Patio Sola,Basic,13900000,66826.92
"8,350,000 EGP",141,2,2 bathroom,3,2020,Broker,Garden,Cash,كمبوند ماونتن فيو,فيو,8350000,59219.86
"5,000,000 EGP",168,3,3 bathroom,1,2025,Broker,Main Street,Cash,Unknown,Basic,5000000,29761.9
"15,000,000 EGP",190,3,3 bathroom,1,2015,Broker,Garden,Cash,فيلدج جاردن قطاميه,Basic,15000000,78947.37
"3,200,000 EGP",140,3,3 bathroom,2,2025,Broker,Other,Cash,دار مصر الأندلس,Basic,3200000,22857.14
"1,750,000 EGP",170,3,3 bathroom,,,EG-6589044,Side Street,Cash,Unknown,Basic,1750000,10294.12
"5,125,000 EGP",205,3,3 bathroom,3,2025,Broker,Main Street,Cash or Installments,Small Investor,Basic,5125000,25000
"8,300,000 EGP",163,3,3 bathroom,2,2025,Broker,Main Street,Cash,Unknown,Basic,8300000,50920.25
"8,936,000 EGP",168,3,2 bathroom,2,2025,Broker,Garden,Cash,كمبوند اليسيوم,Basic,8936000,53190.48
"7,300,000 EGP",119,3,3 bathroom,2,2021,Broker,Garden,Cash,المرحله السابعه,Basic,7300000,61344.54
"11,700,000 EGP",153,3,3 bathroom,5,2029,Broker,Garden,Cash or Installments,The Butterfly Compound,Basic,11700000,76470.59
"14,500,000 EGP",253,4,4 bathroom,1,2024,Cash,Lake,Cash,October Plaza Compound,Basic,14500000,57312.25
"6,235,000 EGP",131,2,2 bathroom,3,2025,Broker,Side Street,Installments,Taj City (Ba7Ry),Basic,6235000,47595.42
"3,800,000 EGP",94,2,1 bathroom,2,2025,Broker,Garden,Cash or Installments,The Heart Of,Installment,3800000,40425.53
"1,650,000 EGP",105,3,1 bathroom,1,2025,Broker,Side Street,Cash,المنطقه ل,Basic,1650000,15714.29
"10,400,000 EGP",136,3,3 bathroom,5,2029,Broker,Garden,Cash or Installments,The Butterfly,Basic,10400000,76470.59
"1,900,000 EGP",155,3,2 bathroom,1,2025,Broker,Main Street,Cash,Unknown,Basic,1900000,12258.06
"5,425,000 EGP",225,3,3 bathroom,1,2026,Developer,Side Street,Installments,الحي الرابع,Basic,5425000,24111.11
"10,000,000 EGP",168,3,2 bathroom,2,2015,Broker,Main Street,Cash,كمبوند الباتيو أورو,Basic,10000000,59523.81
"9,931,000 EGP",169,3,3 bathroom,2,2028,Broker,Garden,Installments,Unknown,View,9931000,58763.31
"6,600,000 EGP",220,3,3 bathroom,6,2024,Broker,Other,Cash,شارع محيي الدين,Basic,6600000,30000
"1,600,000 EGP",102,2,1 bathroom,1,2025,Broker,Side Street,Cash,المنطقه ل,Basic,1600000,15686.27
"7,196,864 EGP",155,3,3 bathroom,3,2026,Broker,Main Street,Cash or Installments,Sun Capital Compound,"View, Finished",7196864,46431.38
"8,900,000 EGP",131,2,2 bathroom,1,2025,Broker,Garden,Cash or Installments,Crowns,Basic,8900000,67938.93
"3,800,000 EGP",94,2,1 bathroom,2,2025,Broker,Garden,Cash or Installments,Unknown,Installment,3800000,40425.53
"8,200,000 EGP",125,2,2 bathroom,2,2029,Broker,Garden,Cash or Installments,El Patio Sola,Basic,8200000,65600
"2,975,000 EGP",187,3,2 bathroom,7,2007,Broker,Main Street,Cash or Installments,Unknown,Basic,2975000,15909.09
"11,387,000 EGP",154,3,3 bathroom,2,2024,Installments,Garden,Installments,Village West Compound,Basic,11387000,73941.56
"1,650,000 EGP",150,3,2 bathroom,9,2025,Broker,Side Street,Cash,Unknown,Basic,1650000,11000
"1,100,000 EGP",100,3,1 bathroom,4,1999,Broker,Side Street,Cash,Unknown,Basic,1100000,11000
"12,200,000 EGP",152,3,2 bathroom,4,2026,Broker,Main Street,Installments,Unknown,تقسيط,12200000,80263.16
"4,036,500 EGP",167,3,2 bathroom,5,2026,Broker,Main Street,Cash or Installments,اشجار سيتي حدائق,تقسيط,4036500,24170.66
"6,800,000 EGP",144,2,3 bathroom,1,2028,Broker,Garden,Installments,Elysium Compound,Finished,6800000,47222.22
"1,650,000 EGP",165,3,3 bathroom,,,EG-6589022,Side Street,Cash,Unknown,Basic,1650000,10000
"5,100,000 EGP",130,3,2 bathroom,2,2024,Broker,Main Street,Cash,Green Revolution,Basic,5100000,39230.77
"4,230,000 EGP",141,3,2 bathroom,3,2028,Broker,Main Street,Installments,Ahmed Zewail Rd,Basic,4230000,30000
"3,700,000 EGP",140,3,3 bathroom,4,2025,Broker,Garden,Cash,Unknown,View,3700000,26428.57
"4,400,000 EGP",154,3,2 bathroom,2,2025,Broker,Garden,Cash,كمبوند جرين سيتي,Basic,4400000,28571.43
"1,400,000 EGP",135,3,2 bathroom,,,EG-6589035,Side Street,Cash,Unknown,Basic,1400000,10370.37
"1,700,000 EGP",160,3,2 bathroom,,,EG-6589029,Side Street,Cash,Unknown,Basic,1700000,10625
"14,700,000 EGP",220,3,3 bathroom,1,2015,Developer,Main Street,Cash,شارع النقل والهندسة,Basic,14700000,66818.18
"3,000,000 EGP",175,3,2 bathroom,1,2024,Broker,Back,Cash,Unknown,"View, Super Lux",3000000,17142.86
"4,500,000 EGP",125,3,1 bathroom,7,2011,Broker,Main Street,Cash,Unknown,Basic,4500000,36000
"2,800,000 EGP",107,2,1 bathroom,1,2010,Broker,Main Street,Cash,Unknown,Basic,2800000,26168.22
"9,000,000 EGP",185,3,3 bathroom,1,2025,Broker,Main Street,Cash or Installments,Unknown,"Finished, Installment",9000000,48648.65
"3,250,000 EGP",171,3,3 bathroom,1,2025,Broker,Main Street,Cash,Hadayek Al Ahram,Basic,3250000,19005.85
"2,850,000 EGP",175,3,2 bathroom,3,2025,Broker,Main Street,Cash,Unknown,Basic,2850000,16285.71
"7,500,000 EGP",155,3,2 bathroom,2,2028,Broker,Garden,Installments,Elysium Compound,Finished,7500000,48387.1
"4,350,000 EGP",130,3,2 bathroom,2,2018,Broker,Other,Cash,Unknown,,4350000,33461.54
"7,800,000 EGP",280,3,2 bathroom,5,2018,Broker,Main Street,Cash or Installments,شارع الجابري,Basic,7800000,27857.14
"3,600,000 EGP",140,2,2 bathroom,4,2023,Broker,Back,Cash or Installments,The Fourth Area,Basic,3600000,25714.29
"1,255,000 EGP",153,3,3 bathroom,2,2025,Broker,Side Street,Cash or Installments,Unknown,Basic,1255000,8202.61
"1,900,000 EGP",155,3,3 bathroom,1,2023,Broker,Side Street,Cash,لــؤلــؤة أكتــوبــر حدائق,Basic,1900000,12258.06
"4,036,500 EGP",167,3,2 bathroom,5,2026,Broker,Garden,Cash or Installments,Unknown,Basic,4036500,24170.66
"6,000,000 EGP",175,3,3 bathroom,2,2025,Broker,Garden,Cash,شارع البستان,Basic,6000000,34285.71
"4,000,000 EGP",165,3,2 bathroom,2,2026,Broker,Other,Cash,كمبوند زيزينيا المستقبل,Basic,4000000,24242.42
"3,600,000 EGP",125,2,1 bathroom,11,2025,Broker,Main Street,Cash,قلب مدينة نصر,تشطيب,3600000,28800
"9,000,000 EGP",195,4,3 bathroom,2,2028,Broker,Garden,Installments,Elysium Compound,Finished,9000000,46153.85
"600,000 EGP",70,2,1 bathroom,,1980,Broker,Main Street,Cash,El Aml,Basic,600000,8571.43
"4,500,000 EGP",200,3,2 bathroom,4,2018,Broker,Main Street,Cash,شارع الجزيرة,Basic,4500000,22500
"4,035,000 EGP",155,3,3 bathroom,1,2028,Developer,Garden,Installments,بيت الوطن التجمع,فيو,4035000,26032.26
"2,400,000 EGP",85,2,1 bathroom,2,2028,Broker,Main Street,Installments,Unknown,Basic,2400000,28235.29
"6,000,000 EGP",175,3,3 bathroom,2,2025,Broker,Garden,Cash,العماره) فيو مفتوح,"فيو, اسانسير",6000000,34285.71
"5,000,000 EGP",166,3,2 bathroom,1,2020,Broker,Back,Cash,اللوتس الجنوبيه,Basic,5000000,30120.48
"6,627,000 EGP",186,3,2 bathroom,2,2028,Broker,Main Street,Installments,Tesla Residence Compound,Basic,6627000,35629.03
"7,800,000 EGP",130,3,2 bathroom,3,2025,Broker,Garden,Cash,ويست فيو ريزيدنس,فيو,7800000,60000
"3,700,000 EGP",160,3,1 bathroom,3,2020,Broker,Main Street,Cash,Suez City,Basic,3700000,23125
"4,422,500 EGP",145,3,3 bathroom,3,2028,Broker,Corner,Cash or Installments,Unknown,Basic,4422500,30500
"17,000,000 EGP",205,3,3 bathroom,2,2015,Broker,Garden,Cash,سبيكترام,Basic,17000000,82926.83
"5,700,000 EGP",270,3,2 bathroom,1,2025,Broker,Other,Cash,Zayed Heights Compound,Basic,5700000,21111.11
"3,500,000 EGP",100,2,2 bathroom,2,2027,Broker,Side Street,Installments,Eighth Neighborhood,Basic,3500000,35000
"4,500,000 EGP",90,2,1 bathroom,3,2025,Broker,Main Street,Cash,Hadayek El Mohandiseen,Basic,4500000,50000
"5,742,000 EGP",198,3,3 bathroom,3,2028,Broker,Main Street,Cash or Installments,Unknown,Basic,5742000,29000
"3,600,000 EGP",150,3,2 bathroom,3,2025,Broker,Main Street,Cash,Other Neighborhoods In,Basic,3600000,24000
"1,500,000 EGP",110,2,2 bathroom,,,EG-6589520,Side Street,Cash,الطالبية بين الهرم,Basic,1500000,13636.36
"1,550,000 EGP",80,2,1 bathroom,3,2025,"19,375 EGP/M²",,,Degla Palms Compound,Basic,1550000,19375
"2,900,000 EGP",95,2,1 bathroom,1,2014,Broker,Back,Cash,Sheikh Zayed,Basic,2900000,30526.32
"1,850,000 EGP",130,3,1 bathroom,1,2011,Broker,Back,Cash,Street 2,Basic,1850000,14230.77
"6,250,000 EGP",125,3,2 bathroom,1,2019,Broker,Main Street,Cash,كمبوند كيان –,Basic,6250000,50000
"2,800,000 EGP",150,3,2 bathroom,3,2025,Broker,Lake,Cash,Divided From El,Basic,2800000,18666.67
"1,250,000 EGP",155,3,3 bathroom,4,2026,Broker,Side Street,Cash,شارع الامراء,Basic,1250000,8064.52
"4,655,000 EGP",133,3,2 bathroom,1,2027,Broker,Main Street,Installments,Zahraa El Maadi,Basic,4655000,35000
"5,500,000 EGP",197,3,3 bathroom,5,2014,Broker,Back,Cash,Tijan 2 Compound,Basic,5500000,27918.78
"4,200,000 EGP",197,3,3 bathroom,7,2014,Broker,Back,Cash,Tijan 2 Compound,Basic,4200000,21319.8
"5,900,000 EGP",131,3,2 bathroom,3,2027,Broker,Garden,Cash or Installments,Elan,Basic,5900000,45038.17
"3,600,000 EGP",115,2,2 bathroom,,2018,"31,304 EGP/M²",,,In Greater Cairo,Basic,3600000,31304.35
"3,900,000 EGP",180,3,2 bathroom,1,2025,Developer,Garden,Cash,المستثمرين الجنوبيه,Basic,3900000,21666.67
"5,450,000 EGP",176,3,2 bathroom,1,2020,Broker,Main Street,Cash,الخمائل,Basic,5450000,30965.91
"1,800,000 EGP",170,3,2 bathroom,10,2019,Broker,Side Street,Cash,Unknown,Basic,1800000,10588.24
"12,967,200 EGP",110,2,3 bathroom,2,2029,Broker,Garden,Installments,Jirian Compound,View,12967200,117883.64
"6,800,000 EGP",180,2,2 bathroom,,2016,Broker,Garden,Cash,Sheikh Zayed,Basic,6800000,37777.78
"11,102,000 EGP",224,4,4 bathroom,2,2025,Broker,Garden,Cash or Installments,Dejoya 1,Basic,11102000,49562.5
"7,800,000 EGP",116,2,2 bathroom,2,2027,Broker,Garden,Installments,O West Compound,Basic,7800000,67241.38
"13,250,000 EGP",160,3,3 bathroom,3,2029,Broker,Main Street,Cash or Installments,Unknown,Basic,13250000,82812.5
"11,200,000 EGP",164,3,3 bathroom,2,2025,Broker,Garden,Cash or Installments,Sarai Over 8,Basic,11200000,68292.68
"7,118,000 EGP",141,3,3 bathroom,2,2025,Broker,Garden,Cash or Installments,Dejoya 1 Compound,Installment,7118000,50482.27
"6,850,000 EGP",96,2,2 bathroom,,2026,Broker,Garden,Cash or Installments,Unknown,"Finished, Installment",6850000,71354.17
"14,000,000 EGP",212,3,3 bathroom,4,2025,Broker,Garden,Cash or Installments,Unknown,Basic,14000000,66037.74
"8,800,000 EGP",250,3,2 bathroom,13,2009,Broker,Main Street,Cash,Gianaclis,Basic,8800000,35200
"6,633,000 EGP",198,3,3 bathroom,2,2028,Broker,Pool,Installments,Address Home 2,Basic,6633000,33500
"6,250,000 EGP",181,3,2 bathroom,2,2019,Broker,Main Street,Cash,كمبوند مروج,Basic,6250000,34530.39
"12,500,000 EGP",182,3,3 bathroom,3,2025,Broker,Garden,Cash or Installments,Sarai Over Installments,Installment,12500000,68681.32
"1,750,000 EGP",160,3,2 bathroom,8,2025,Broker,Side Street,Cash,فيصل,Basic,1750000,10937.5
"1,550,000 EGP",140,3,2 bathroom,4,2025,Broker,Side Street,Cash,Unknown,Basic,1550000,11071.43
"6,830,000 EGP",135,3,3 bathroom,3,2025,Broker,Garden,Cash or Installments,De Joya 1,Basic,6830000,50592.59
"1,650,000 EGP",150,3,2 bathroom,5,2025,Broker,Side Street,Cash,Unknown,Basic,1650000,11000
"13,840,000 EGP",199,3,3 bathroom,3,2025,Broker,Garden,Cash,Mountain View Hyde,"View, Finished",13840000,69547.74
"7,100,000 EGP",130,3,3 bathroom,3,2026,Broker,Garden,Installments,"ويست فيو ريزيدنس،","فيو, لوكس",7100000,54615.38
"1,400,000 EGP",150,3,2 bathroom,3,2025,Broker,Side Street,Cash,Unknown,Basic,1400000,9333.33
